Well,Plate,CD41_APCH7,ANXA1_APC,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,Colony
E15,2,"1,435",226,97,519,359,138,"1,104",N
E16,2,125,519,58,"1,172",121,189,307,N
E17,2,509,741,92,"2,161",323,222,"5,063",N
E18,2,354,358,72,"1,269",397,42,632,N
E19,2,"3,874",982,109,"1,350",747,162,"2,428",N
E20,2,"1,265",414,166,"1,454",856,186,"1,295",Y
E21,2,"1,879",806,99,821,418,137,"1,295",N
E22,2,"6,374",663,317,49,952,350,"3,038",N
E23,2,583,413,52,"1,046",314,104,"1,565",N
E24,2,"4,551",643,266,356,895,264,"2,008",N
F1,2,"1,299",531,120,367,609,135,457,N
F2,2,"1,705",272,92,892,315,157,"1,963",N
F3,2,"2,241",106,65,856,706,20,890,N
F4,2,"1,982",675,292,"1,335","1,683",312,961,N
F5,2,160,454,143,"1,442",345,199,"1,797",N
F6,2,"2,885",200,65,923,448,128,"1,784",N
F7,2,"3,227",423,98,"1,018",472,159,"1,016",N
F8,2,"1,673",360,113,"1,180",498,141,"2,097",N
F9,2,797,454,100,"1,624",477,128,"1,235",N
F10,2,"3,122",485,54,"1,299",458,159,566,N
F11,2,233,214,77,718,155,170,829,N
F12,2,"5,841",327,172,"1,645",488,266,656,N
F13,2,910,292,83,"1,214",239,229,480,N
F14,2,"1,139",301,73,"2,102",330,84,684,Y
F15,2,"2,457",150,127,"1,089",334,108,474,N
F16,2,801,667,58,718,217,69,"1,232",N
F17,2,"1,176",700,153,"1,700",951,300,"2,159",Y
F18,2,"4,369",317,230,197,582,113,"1,165",N
F19,2,"4,052",852,29,357,271,72,"1,432",N
F20,2,"1,524",304,169,"1,088",510,201,764,N
F21,2,"4,919",220,82,575,684,131,"1,380",N
F22,2,"1,142",274,73,"1,193",287,110,564,N
F23,2,"3,255",676,88,923,429,171,"1,031",N
F24,2,"1,622",2,27,345,294,74,184,N
G1,2,"2,801",631,92,"1,541",613,92,"1,440",N
G2,2,709,211,96,"1,854",485,183,827,N
G3,2,"2,326",306,106,675,509,160,815,N
G4,2,"1,625",545,47,248,632,126,"1,008",N
G5,2,814,134,127,"1,510",348,134,"1,454",N
G6,2,362,266,116,214,271,243,980,N
G7,2,"1,373",394,83,832,362,123,969,N
G8,2,"5,763",592,124,598,829,262,"1,677",N
G9,2,199,-5,54,635,138,160,140,N
G10,2,19,378,121,"1,181",238,59,863,N
G11,2,"4,092",961,231,274,740,410,841,N
G12,2,989,283,253,-17,206,240,296,N
G13,2,"4,703",555,128,632,594,174,"1,839",N
G14,2,"2,883",994,316,"1,250",967,299,"1,856",N
G15,2,133,223,8,"1,037",546,179,448,N
G16,2,883,193,102,"1,610",878,159,"1,183",N
G17,2,"1,574",468,97,"1,350",471,136,"1,973",Y
G18,2,298,139,76,"1,174",324,40,399,N
G19,2,391,641,77,"1,124",207,81,942,N
G20,2,"4,227",699,167,"2,623",739,392,"7,679",N
G21,2,250,113,61,"1,166",176,120,909,N
G22,2,"14,130",494,86,54,762,80,345,N
G23,2,"4,172",209,135,"1,051",421,227,882,N
G24,2,"1,379",144,65,"1,242",227,84,208,N
H1,2,"1,475",516,138,"1,560",858,177,"1,111",Y
H2,2,713,-18,113,960,422,80,793,N
H3,2,"2,929","1,230",215,890,848,376,"1,736",N
H4,2,"1,713",422,84,"1,315",423,163,"1,131",N
H5,2,"1,775",654,124,820,295,338,733,N
H6,2,366,564,122,"1,296",363,219,703,N
H7,2,"1,664",799,132,458,652,201,"1,553",N
H8,2,511,107,60,"1,028",152,65,793,N
H9,2,"5,133",784,110,250,556,131,686,N
H10,2,"5,244",683,260,301,851,232,"2,644",N
H11,2,"9,328",653,290,195,948,379,"1,482",N
H12,2,"2,044",215,139,709,484,228,994,N
H13,2,"2,221",919,206,260,632,256,"1,659",N
H14,2,501,526,69,935,238,98,473,N
H15,2,"2,265","2,782",197,"2,358","1,355",271,"4,243",N
H16,2,"3,136",137,259,358,"1,179",300,468,N
H17,2,"1,716",166,33,588,312,70,"1,008",N
H18,2,"1,784",449,147,"1,194",705,198,"1,289",N
H19,2,432,829,155,540,322,290,956,N
H20,2,"1,707",235,83,675,267,38,576,N
H21,2,"2,714",633,117,983,393,186,"2,529",N
H22,2,"1,195",162,125,"1,235",536,277,771,N
H23,2,"1,255",262,110,"1,416",366,122,643,N
H24,2,"6,064",664,72,"1,768",629,151,"2,836",Y
I1,2,266,"2,831",28,709,111,"2,182","2,085",N
I2,2,"5,086",165,115,320,709,84,"1,122",N
I3,2,"3,284",426,68,482,503,147,"1,430",N
I4,2,"7,955","1,739",174,-175,883,330,"2,989",N
I5,2,72,328,57,240,187,310,138,N
I6,2,710,512,88,"2,071",880,100,512,N
I7,2,917,373,69,966,253,200,"1,314",N
I8,2,"5,218",803,202,"2,397","1,142",216,"1,513",N
I9,2,"1,997",72,117,944,402,151,693,N
I10,2,176,145,25,251,279,68,348,N
I11,2,792,-52,43,894,184,161,537,N
I12,2,17,818,52,382,265,380,935,N
I13,2,252,274,92,"1,698",165,113,"1,910",N
I14,2,"2,923",98,83,927,625,73,164,Y
I15,2,326,445,100,"1,018",317,203,541,N
I16,2,"1,419",405,79,"1,739",435,67,"1,489",Y
I17,2,"1,053",82,61,635,162,48,322,N
I18,2,"7,316","1,014",111,498,809,203,"2,011",N
I19,2,"2,042",90,61,784,131,113,761,N
I20,2,904,250,71,657,132,147,"1,063",N
I21,2,-58,-146,-13,"1,096",41,2,91,N
I22,2,"4,424",824,134,999,653,250,"1,128",N
I23,2,"2,312",127,75,769,346,107,573,N
I24,2,"3,746",770,139,120,647,80,"2,591",N
J1,2,"3,373",-52,141,537,386,199,"1,600",N
J2,2,989,-58,16,526,109,5,885,N
J3,2,"4,479",456,79,559,393,109,"1,045",N
J4,2,927,159,81,"1,285",271,131,"1,783",N
J5,2,38,320,152,158,403,484,148,N
J6,2,"5,679",343,138,"1,125",641,181,"1,168",N
J7,2,528,240,98,"1,673",216,151,849,N
J8,2,"1,843","1,010",265,255,846,"3,972","46,807",N
J9,2,247,165,122,770,205,147,"1,280",N
J10,2,922,278,53,"1,436",323,226,"1,213",N
J11,2,"2,331",619,46,"1,056",437,68,"1,275",N
J12,2,"3,770",474,104,37,723,145,898,N
J13,2,309,256,232,322,577,657,41,N
J14,2,"1,717",187,-73,"1,820",113,-87,307,N
J15,2,"1,573",-25,79,278,232,93,603,N
J16,2,"6,793",730,69,862,396,92,535,N
J17,2,"1,215",440,40,641,289,175,"1,665",N
J18,2,"4,992",666,71,"1,552",280,238,647,N
J19,2,"12,716",463,112,532,342,118,"2,267",N
J20,2,"1,791",81,81,"1,157",642,45,"1,064",N
J21,2,"2,664",511,62,"1,573",698,32,"2,618",Y
J22,2,111,40,124,"2,194",851,109,851,Y
J23,2,"3,880",461,56,718,177,90,315,N
J24,2,"1,651",383,77,"2,487",445,123,790,N
K1,2,"5,433",475,149,911,862,119,"1,095",N
K2,2,205,259,95,"1,454",201,171,983,N
K3,2,"4,555",378,108,288,709,127,797,N
K4,2,"7,214","1,810",222,"1,499","1,307",402,"2,085",N
K5,2,"3,006",265,214,738,348,232,"1,996",N
K6,2,"6,381","1,977",190,"1,058",958,346,"3,751",N
K7,2,"5,466",784,171,444,958,254,"2,990",N
K8,2,160,205,13,733,107,8,813,Y
K9,2,"1,201",482,84,"1,133",282,119,916,N
K10,2,"6,714",897,271,-45,862,330,"1,187",N
K11,2,913,400,78,"1,300",167,157,"1,000",N
K12,2,144,-11,59,"1,298",145,123,282,N
K13,2,702,264,34,948,78,119,780,Y
K14,2,"3,993",171,85,"1,195",734,73,"3,349",Y
K15,2,168,260,65,344,154,"1,077","6,017",N
K16,2,"1,860",385,56,"1,217",248,222,687,N
K17,2,"2,735",173,74,"1,196",277,85,582,N
K18,2,"6,602",182,72,159,806,94,"2,170",N
K19,2,"1,040",139,221,377,"2,232",253,345,N
K20,2,599,374,113,517,263,172,932,N
K21,2,108,179,50,858,156,104,600,N
K22,2,250,"1,015",69,179,373,404,523,N
K23,2,339,557,103,"1,564",263,171,"1,407",N
K24,2,132,265,60,742,164,153,711,N
L1,2,"1,461",413,102,"1,028",351,205,927,N
L2,2,345,626,217,811,293,"1,240","10,368",N
L3,2,256,170,80,491,217,138,-58,N
L4,2,844,682,112,"2,631",464,156,"3,266",N
L5,2,"2,187",328,118,"1,435",673,91,840,N
L6,2,"1,873",338,85,"2,081",395,172,"1,791",N
L7,2,"2,818",457,101,630,735,139,"2,389",N
L8,2,618,622,102,669,231,116,"1,786",N
L9,2,"1,900",270,45,715,277,-19,739,N
L10,2,"1,490","6,225",95,698,307,274,"5,937",N
L11,2,317,351,52,"1,647",257,144,436,N
L12,2,336,220,37,234,372,227,230,N
L13,2,"2,485",297,99,453,226,387,476,N
L14,2,"1,770",184,36,"1,717",193,78,792,N
L15,2,932,536,64,531,386,167,334,N
L16,2,"1,326",841,132,336,580,359,"1,100",N
L17,2,"1,923",98,137,373,533,358,"1,291",N
L18,2,205,203,93,"1,114",208,138,550,N
L19,2,"6,053",573,83,234,629,179,"2,658",N
L20,2,359,181,44,149,138,267,495,N
L21,2,"8,717",105,63,306,646,44,"1,288",N
L22,2,"2,907",139,76,-6,288,149,88,N
L23,2,"1,007",149,118,"1,642",361,98,"1,551",N
L24,2,-42,298,94,"1,399",119,174,536,N
M1,2,"3,971",478,185,671,816,247,"2,540",N
M2,2,314,148,43,"1,115",155,112,179,N
M3,2,"7,568",7,89,328,601,61,495,N
M4,2,"5,128",547,65,"1,436","1,608",179,757,N
M5,2,"1,129",164,55,507,196,154,0,N
M6,2,"5,371",607,111,500,556,214,"1,193",N
M7,2,"1,661",-113,20,543,197,34,798,N
M8,2,"4,014","1,170",354,122,709,419,"2,175",N
M9,2,"3,335","1,523",130,531,"1,125",162,"2,502",N
M10,2,"1,587",549,84,"2,338",344,175,"1,092",N
M11,2,"2,259",431,80,"2,415",372,90,"3,490",N
M12,2,"4,753",955,132,375,703,227,"2,970",N
M13,2,895,375,65,639,194,56,"1,719",N
M14,2,"1,990","1,358",163,"1,608","1,135",270,"2,265",N
M15,2,"4,894","1,168",153,662,888,244,"2,456",N
M16,2,417,223,70,768,210,126,787,N
M17,2,103,568,71,"1,913",245,190,"3,568",N
M18,2,"1,933",396,101,700,173,44,646,N
M19,2,"4,565",845,176,919,606,194,730,N
M20,2,"5,483",999,214,26,715,386,"1,164",N
M21,2,"2,327",242,70,"1,490",309,31,"1,588",N
M22,2,"2,679",172,89,273,644,127,937,N
M23,2,"3,224",244,101,921,462,212,"1,809",N
M24,2,"1,515",-45,61,967,163,88,"2,259",N
N1,2,23,175,116,911,182,129,311,N
N2,2,"4,624",855,126,"1,029",550,175,"1,919",N
N3,2,410,217,119,415,373,158,230,N
N4,2,816,434,176,"1,762",447,337,683,N
N5,2,645,365,113,911,505,188,"1,082",N
N6,2,101,334,118,"1,645",198,180,"1,256",N
N7,2,"1,101",278,79,642,153,101,"1,861",N
N8,2,"2,756",913,18,"1,629",342,133,725,N
N9,2,778,253,92,"1,773",288,186,"1,684",N
N10,2,535,646,80,426,265,114,673,N
N11,2,180,236,101,"1,533",178,122,210,N
N12,2,519,559,92,"2,354",253,149,"1,890",N
N13,2,"1,097",689,114,785,260,458,328,N
N14,2,"2,600","1,197",165,786,707,241,"1,284",N
N15,2,"2,526",433,70,"1,027",409,144,311,N
N16,2,"2,313",254,38,968,147,154,892,N
N17,2,"1,237",333,31,613,201,81,558,N
N18,2,"1,422",730,151,611,497,409,"1,237",N
N19,2,141,71,59,"1,593",153,169,"2,319",N
N20,2,380,541,66,163,122,81,-203,N
N21,2,"1,664",296,55,"1,802",166,100,"1,856",N
N22,2,"1,204",180,87,559,302,203,"1,421",N
N23,2,110,292,80,"1,161",148,84,137,N
N24,2,"13,430",754,181,78,761,255,"2,931",N
O1,2,32,397,78,"1,213",148,140,267,N
O2,2,938,76,54,628,138,131,234,N
O3,2,"1,345",476,165,"1,113","1,329",249,782,N
O4,2,"2,716",399,108,872,412,156,"1,061",N
O5,2,"1,060",672,166,191,407,438,"1,691",N
O6,2,"4,489",438,96,290,552,175,576,N
O7,2,"3,713",458,99,886,395,"1,075","19,025",N
O8,2,617,180,92,733,227,233,"1,250",N
O9,2,"3,459",380,97,672,283,36,"4,316",N
O10,2,375,365,93,703,265,97,"1,099",N
O11,2,"1,052",280,263,"1,457",562,315,670,N
O12,2,"13,938",355,106,"1,898",850,280,"3,370",N
O13,2,"3,637",677,69,597,479,101,727,N
O14,2,-86,120,49,640,343,70,437,N
O15,2,730,4,47,785,130,91,156,N
O16,2,"1,246",145,242,-316,132,"1,122","51,058",N
O17,2,"6,257","1,539",149,717,"1,131",201,"2,214",N
O18,2,217,171,73,"1,936",168,83,561,N
O19,2,874,301,183,"1,156",442,198,785,N
O20,2,740,"1,210",147,"1,666",458,154,"1,683",N
O21,2,"1,076",125,63,268,234,148,495,N
O22,2,"2,535",734,194,754,682,307,"1,348",Y
O23,2,704,961,257,"2,510",507,370,"1,116",N
O24,2,"1,965","1,351",109,924,745,182,"2,230",N
P1,2,117,98,14,"1,034",108,139,6,N
P2,2,"1,918",317,125,527,761,169,"2,253",N
P3,2,"1,172",955,190,802,473,642,396,N
P4,2,"7,358",846,208,221,"1,172",284,"3,332",N
P5,2,477,139,54,928,174,66,712,N
P6,2,"2,126",188,74,"1,035",351,94,"1,640",N
P7,2,526,102,44,"1,493",110,140,"1,030",N
P8,2,"1,021",201,64,"1,988",234,76,"1,558",N
P9,2,618,675,106,"1,041",246,128,"1,623",N
P10,2,756,370,228,"1,216",614,363,"2,028",N
P11,2,452,385,84,"1,017",320,167,"1,422",N
P12,2,915,443,51,676,272,68,852,N
P13,2,"1,721",124,109,"1,070",320,153,463,N
P14,2,148,127,38,689,162,46,-47,N
P15,2,"5,553",630,112,565,718,210,"1,428",N
P16,2,276,150,57,"1,037",120,85,608,N
P17,2,"8,220",348,118,732,"1,178",236,"1,123",N
P18,2,226,315,63,"1,511",228,185,256,N
P19,2,"-1,141",455,65,"1,274",121,"2,933","37,452",N
P20,2,"1,286",814,154,466,466,389,762,N
P21,2,67,95,101,"1,392",217,142,72,N
P22,2,"1,003",200,111,"1,046",459,142,"2,362",N
P23,2,"1,830",242,34,"1,284",512,118,103,N
P24,2,"3,583","1,316",294,176,632,591,"4,036",N
A1,3,"5,172",691,204,524,"1,135",238,"2,242",N
A2,3,"4,986",215,62,218,307,76,433,N
A3,3,267,109,51,866,107,110,227,N
A4,3,38,64,24,127,693,60,198,N
A5,3,"3,657","1,460",198,864,658,175,"2,416",N
A6,3,545,80,148,878,511,182,692,N
A7,3,"2,209",553,27,854,165,7,810,N
A8,3,"1,502",434,48,581,281,129,-38,N
A9,3,"1,654",99,51,"1,564",425,44,669,Y
A10,3,"1,788",243,44,924,334,106,"4,340",N
A11,3,"1,927",117,86,"1,586",389,177,"1,118",Y
A12,3,557,224,81,"2,347",344,94,"1,035",N
A13,3,483,608,85,"2,029",239,177,"2,169",N
A14,3,"4,420",566,122,588,594,151,"1,034",N
A15,3,"1,688",41,117,"1,855",306,171,636,N
A16,3,547,235,117,"1,938",427,213,768,N
A17,3,"2,754",322,68,"1,196",352,66,"1,326",Y
A18,3,"1,821",407,55,805,189,201,"1,149",N
A19,3,310,713,208,889,329,310,"6,823",N
A20,3,"5,201",192,115,"1,018",840,110,"1,191",N
A21,3,147,273,36,"2,237",189,78,718,N
A22,3,"1,655",429,86,"1,191",373,120,"2,176",N
A23,3,529,205,38,359,194,171,297,N
A24,3,"1,141",168,65,"1,013",334,53,623,N
B1,3,369,309,72,"1,963",161,18,877,N
B2,3,"4,206","1,448",286,961,718,388,"2,449",N
B3,3,"3,405",976,236,610,925,373,"1,596",N
B4,3,"4,369",729,143,517,555,238,"1,333",N
B5,3,229,134,68,565,100,101,282,N
B6,3,163,714,71,680,180,238,385,N
B7,3,301,259,126,368,435,325,371,N
B8,3,"4,714",516,69,"1,052",508,216,"1,798",N
B9,3,"4,403",986,82,526,814,142,686,N
B10,3,"6,992",670,175,652,937,285,"2,246",N
B11,3,918,477,118,"1,118",387,231,"1,041",N
B12,3,"3,218","1,273",308,924,776,647,"3,418",N
B13,3,"2,184",-107,62,660,544,77,642,N
B14,3,589,138,31,733,424,84,977,N
B15,3,"1,471",151,40,716,338,-9,406,N
B16,3,587,305,102,"1,050",199,112,828,N
B17,3,345,310,85,994,664,163,399,Y
B18,3,746,465,167,"2,522",348,233,"1,177",N
B19,3,"3,874",341,22,"1,132",282,86,"1,010",N
B20,3,843,464,91,441,312,211,919,N
B21,3,"2,156",395,99,987,433,201,"1,403",N
B22,3,"4,087",366,123,518,627,63,"2,888",N
B23,3,"3,194",500,101,521,398,138,539,N
B24,3,"4,985",537,144,210,569,156,496,N
C1,3,827,258,71,"2,617",612,127,337,N
C2,3,360,461,78,826,288,137,"2,380",Y
C3,3,527,112,47,84,159,121,30,N
C4,3,294,338,72,569,331,144,990,N
C5,3,425,174,68,780,133,114,416,N
C6,3,590,287,77,"1,397",253,106,"1,453",N
C7,3,"3,034","1,685",290,"1,467",811,863,"1,795",N
C8,3,881,181,89,567,246,191,415,N
C9,3,"5,366",541,74,293,812,214,"1,510",N
C10,3,480,408,58,974,224,76,583,N
C11,3,408,162,103,913,514,157,"2,306",N
C12,3,"4,678",769,155,"1,565",940,126,"1,817",N
C13,3,"1,635",564,233,"1,017",427,322,"4,354",N
C14,3,"2,636",171,117,"1,102",338,128,"1,394",N
C15,3,9,87,26,117,83,136,82,N
C16,3,138,191,41,171,199,173,349,N
C17,3,82,201,43,"1,114",83,112,"3,258",N
C18,3,"5,469",279,145,464,978,165,794,N
C19,3,-140,396,115,"1,565",149,116,"1,195",N
C20,3,448,318,88,"1,790",268,175,"1,009",Y
C21,3,"1,243","2,906",162,977,444,406,"6,850",N
C22,3,"1,753",754,99,601,267,250,"1,237",N
C23,3,"6,102","1,544",50,216,514,"4,380","77,736",N
C24,3,949,241,130,476,412,182,490,N
D1,3,"1,135",406,149,798,396,341,378,N
D2,3,"2,353",400,122,"1,000",877,185,"2,392",N
D3,3,"1,385",201,154,881,431,131,996,N
D4,3,234,319,74,525,271,142,261,N
D5,3,859,301,80,851,232,97,749,N
D6,3,"6,324",405,140,"1,531",482,174,"1,768",N
D7,3,"2,664",127,41,"2,780",467,67,"2,505",N
D8,3,596,438,103,"1,661",475,81,"1,510",N
D9,3,404,-54,54,779,163,95,165,N
D10,3,"1,180",199,60,"1,034",312,6,955,N
D11,3,"5,396",824,201,626,730,256,"2,899",N
D12,3,"1,407",162,171,170,981,145,501,N
D13,3,"5,172",210,117,952,282,131,"1,168",N
D14,3,625,361,42,736,198,101,294,N
D15,3,"4,046",193,107,964,263,111,"1,276",N
D16,3,"5,513",304,203,447,582,213,398,N
D17,3,293,-55,57,815,155,70,416,N
D18,3,"2,960",431,84,754,501,166,"1,343",N
D19,3,63,337,31,188,169,231,355,N
D20,3,267,397,105,"1,541",294,378,"1,201",N
D21,3,"1,050",313,104,"1,234",607,219,465,N
D22,3,678,486,42,289,238,160,720,N
D23,3,"2,757",643,116,629,511,160,"2,848",N
D24,3,6,48,61,914,206,85,391,N
E1,3,776,251,103,844,458,196,"1,743",N
E2,3,"2,775",722,138,"1,489",368,232,"1,355",N
E3,3,268,188,81,"1,777",174,125,849,N
E4,3,"5,528",342,159,582,917,120,"3,420",N
E5,3,"8,617",181,71,863,764,109,665,N
E6,3,"1,272",499,89,746,340,139,"1,325",N
E7,3,"2,136","1,278",178,"1,319",858,292,"3,113",N
E8,3,949,-226,-10,50,81,114,235,N
E9,3,147,587,77,934,156,112,40,N
E10,3,"6,854",615,168,978,"1,176",248,"2,229",N
E11,3,"4,376",348,166,771,"1,018",200,"1,793",N
E12,3,"13,960",291,166,566,533,171,"1,424",N
E13,3,593,73,69,"1,104",103,102,296,N
E14,3,291,132,68,812,257,67,549,N
E15,3,"1,640",860,257,516,619,472,"1,048",N
E16,3,"3,309",485,89,82,316,295,498,N
E17,3,85,0,54,"1,148",98,88,351,N
E18,3,654,640,128,"1,951",407,185,"1,244",N
E19,3,"1,438","1,397",124,527,695,429,"2,583",N
E20,3,"3,144",161,96,941,720,131,608,N
E21,3,"1,663",217,69,876,326,56,"3,267",N
E22,3,"2,566",552,66,"1,291",478,103,"1,366",N
E23,3,235,193,41,"1,040",119,131,83,N
E24,3,"7,705",939,118,"1,325",719,210,862,Y
F1,3,"2,774",-4,37,837,412,44,788,N
F2,3,"2,525",296,146,"1,870",853,118,675,Y
F3,3,378,-83,85,818,282,138,"5,853",N
F4,3,"1,153",68,58,996,322,134,307,N
F5,3,658,262,55,938,159,103,524,N
F6,3,-689,540,205,321,250,"1,608","19,888",N
F7,3,562,354,78,579,198,121,354,N
F8,3,274,451,59,"1,264",110,60,519,N
F9,3,"1,262",443,121,478,391,391,940,N
F10,3,451,193,49,"1,035",169,69,777,N
F11,3,"1,372",270,79,"1,325",182,56,927,N
F12,3,"1,277",173,104,698,508,180,"3,882",N
F13,3,816,206,185,"1,506",441,224,"1,364",N
F14,3,192,40,61,"1,090",136,89,242,N
F15,3,960,449,64,"1,266",480,109,"2,121",N
F16,3,"1,085",263,110,400,404,301,340,N
F17,3,"13,865",274,89,268,624,148,871,N
F18,3,"1,193",131,83,"1,392",196,80,545,N
F19,3,967,364,137,"1,110",668,170,900,N
F20,3,"1,625",192,121,"1,022",402,142,"2,620",N
F21,3,"1,057",619,208,92,455,393,"1,231",N
F22,3,420,494,186,172,376,445,496,N
F23,3,352,136,46,997,160,199,484,N
F24,3,"1,159",803,92,939,413,207,532,N
G1,3,"8,941",230,65,-180,264,109,"2,034",N
G2,3,"1,497",540,125,"2,287",402,186,"1,227",N
G3,3,"3,644",560,182,877,"1,025",270,"3,522",N
G4,3,747,31,151,"1,743",505,140,688,N
G5,3,710,197,69,"1,217",355,28,410,N
G6,3,-61,-55,47,"1,121",87,18,784,N
G7,3,"2,947",91,127,"2,133",713,272,"2,224",N
G8,3,568,78,82,790,302,79,953,N
G9,3,"2,263",319,50,"1,273",525,48,736,N
G10,3,655,304,57,"1,177",172,63,437,N
G11,3,"2,735","1,210",26,-31,"1,071",139,"1,477",N
G12,3,"1,050",-42,49,944,315,103,264,N
G13,3,"1,565",191,119,"1,688",447,148,864,N
G14,3,538,160,91,"1,178",196,179,553,N
G15,3,"1,253","1,102",126,989,264,973,"2,852",N
G16,3,856,263,191,"1,034",399,259,"2,132",N
G17,3,"11,712",383,137,541,957,224,"1,194",N
G18,3,876,"1,710",168,814,452,327,"2,874",N
G19,3,"1,776",150,75,958,285,126,"1,137",N
G20,3,318,128,95,"2,085",185,120,458,N
G21,3,"4,012","1,307",196,902,555,266,"8,431",N
G22,3,640,159,41,427,222,45,319,N
G23,3,937,451,135,"2,369",491,258,"2,866",N
G24,3,"4,501",622,142,310,629,175,"2,153",N
H1,3,645,31,70,"1,056",159,65,219,N
H2,3,"2,516",582,119,"1,087",910,89,788,Y
H3,3,"4,739",538,64,835,531,101,"1,392",N
H4,3,495,111,44,"1,135",295,114,616,N
H5,3,"6,719",463,100,"1,068",866,129,"1,458",N
H6,3,"5,597","1,499",363,"1,407","1,555",519,"10,408",N
H7,3,"1,586",95,57,"1,371",300,59,"1,162",N
H8,3,670,255,74,"1,078",241,103,921,N
H9,3,82,271,51,457,135,130,391,N
H10,3,"4,049",-29,63,602,564,150,320,N
H11,3,"1,671",330,102,559,311,51,751,N
H12,3,"1,817",168,80,649,226,90,326,N
H13,3,938,592,198,"1,193",941,255,591,N
H14,3,889,144,50,"1,165",229,38,665,N
H15,3,52,335,37,253,71,159,95,N
H16,3,245,369,139,"1,737",267,174,728,N
H17,3,"8,569",584,331,-79,619,375,"1,062",N
H18,3,723,198,51,988,290,70,335,N
H19,3,"5,086",265,87,322,651,198,625,N
H20,3,"2,042",974,212,167,419,525,"3,177",N
H21,3,195,39,89,660,149,105,188,N
H22,3,"2,225",225,105,773,394,57,"1,306",N
H23,3,339,329,87,343,297,510,454,N
H24,3,519,494,119,"1,952",295,106,"2,703",N
I1,3,821,30,47,688,247,167,72,N
I2,3,"1,871",73,123,"1,172",463,68,"1,046",Y
I3,3,83,940,135,"1,950",259,218,"1,413",N
I4,3,426,427,125,"1,122",252,148,"1,173",N
I5,3,336,83,39,932,109,54,115,N
I6,3,"2,722",412,83,785,631,103,709,N
I7,3,"1,902","1,126",87,425,356,141,"1,073",N
I8,3,499,337,38,777,259,423,363,N
I9,3,"3,770",742,128,695,"1,362",178,"1,411",N
I10,3,"4,595",720,85,518,377,113,"3,526",N
I11,3,"1,585",470,107,"1,388",905,147,959,N
I12,3,"5,745","1,191",199,"1,123",722,328,"1,692",N
I13,3,539,181,65,992,206,27,112,N
I14,3,94,118,56,183,157,279,329,N
I15,3,"2,233",839,172,567,826,357,"1,795",N
I16,3,19,13,53,"1,355",168,86,387,N
I17,3,"1,057",144,60,673,506,93,"1,945",Y
I18,3,"2,489",275,65,797,499,98,"1,637",Y
I19,3,878,205,99,"1,582",221,102,351,N
I20,3,"2,814",656,171,395,370,152,"2,809",N
I21,3,"1,928",52,60,219,207,142,284,N
I22,3,312,189,69,"1,397",184,122,902,N
I23,3,494,59,117,844,243,177,335,N
I24,3,74,948,41,171,219,180,"1,125",N
J1,3,266,183,90,867,469,208,482,N
J2,3,252,117,38,608,121,119,"1,063",N
J3,3,753,383,85,309,365,45,124,N
J4,3,"2,117",240,89,508,416,73,674,N
J5,3,"1,172",212,123,175,372,318,119,N
J6,3,512,234,42,"1,221",202,106,"1,942",N
J7,3,"2,630",184,59,"1,205",814,117,934,N
J8,3,111,137,48,"1,225",104,127,842,N
J9,3,"6,655",606,181,"1,424","1,040",210,"1,543",N
J10,3,"5,783",502,48,539,517,83,605,N
J11,3,"3,500",550,54,912,543,95,"2,349",N
J12,3,"2,195",958,122,577,385,364,"1,108",N
J13,3,39,274,210,968,292,554,"23,242",N
J14,3,"15,817",412,83,272,494,41,564,N
J15,3,525,35,115,305,228,188,505,N
J16,3,"1,858",262,30,769,761,-10,816,Y
J17,3,280,54,105,"2,449",792,130,654,Y
J18,3,"2,439",308,125,566,823,121,148,N
J19,3,302,752,106,820,199,202,199,N
J20,3,614,302,305,543,514,242,"1,050",N
J21,3,359,682,113,"2,099",286,137,"1,048",N
